gene,log2FC,padj
E00888,0.0926 ,0.0627 
E00889,-1.4763 ,0.0196 
E00891,0.3555 ,0.0216 
E00893,-0.7418 ,0.0000 
E00894,3.6102 ,6.54604133384791e-310
E00895,-0.3363 ,0.0002 
E00897,0.4781 ,0.9610 
E00900,0.5281 ,0.0000 
E00901,0.3486 ,0.0000 
E00902,0.1944 ,0.0005 
E00903,-0.2994 ,0.0018 
E00904,0.4486 ,0.9610 
E00905,-0.5097 ,0.7055 
E00906,-1.2363 ,0.0000 
E00907,1.9888 ,0.0000 
E00909,-0.2627 ,0.0006 
E00913,-0.7467 ,0.0000 
E00916,0.4781 ,0.9610 
E00917,1.2844 ,0.0000 
E00918,-1.1814 ,0.0000 
E00920,0.0542 ,1.0000 
E00921,-1.0635 ,0.0000 
E00922,-0.9829 ,0.0000 
E00923,-0.0001 ,1.0000 
E00924,-1.0168 ,0.0000 
E00925,0.1419 ,0.2642 
E00926,0.3293 ,0.0001 
E00931,-0.1893 ,0.0002 
E00934,0.4486 ,0.9610 
E00936,-0.3785 ,0.0000 
E00937,0.5227 ,0.0279 
E00938,0.1526 ,0.0000 
E00940,-1.3878 ,0.0000 
E00942,-0.6421 ,0.0000 
E00952,-0.6382 ,0.0014 
E00954,0.9558 ,0.0000 
E00955,-0.2925 ,0.0625 
E00956,1.1594 ,0.0000 
E00957,-0.4909 ,0.0027 
E00961,2.4363 ,0.0000 
E00962,-0.1300 ,0.1950 
E00963,0.6971 ,0.1209 
E00967,0.2087 ,0.0016 
E00968,-0.4069 ,0.0000 
E00974,0.3210 ,0.0001 
E00975,-0.4304 ,0.0000 
E00977,-0.1957 ,0.0057 
E00979,1.2511 ,0.0000 
E00981,0.2367 ,0.0011 
E00983,0.5857 ,0.0000 
E00985,-0.0930 ,0.3277 
E00986,3.7085 ,0.0000 
E00987,-0.1542 ,0.0687 
E00988,0.0164 ,0.8556 
E00989,0.4511 ,0.0000 
E00990,1.0729 ,0.0000 
E00991,-0.1392 ,0.0000 
E00994,0.9861 ,0.0000 
E00996,-0.2278 ,0.0000 
E00999,-0.3884 ,0.0000 
E01001,0.4486 ,0.9610 
E01003,0.4526 ,0.0000 
E01004,-1.3157 ,0.0000 
E01005,0.4486 ,0.9610 
E01006,-0.3128 ,0.0007 
E01007,-2.6339 ,0.0000 
E01009,-0.5766 ,0.0000 
E01010,0.2239 ,0.0000 
E01011,-0.2433 ,0.7191 
E01030,0.5580 ,0.0000 
E01031,1.3273 ,0.2548 
E01032,0.0041 ,0.9711 
E01033,0.1323 ,0.1410 
E01034,0.7607 ,0.0000 
E01035,-0.0044 ,1.0000 
E01036,1.2658 ,0.0000 
E01037,0.5690 ,0.0000 
E01039,-0.6058 ,0.0000 
E01040,-0.0473 ,0.6594 
E01043,-0.2500 ,0.0215 
E01044,-0.6936 ,0.0000 
E01047,-0.0866 ,0.4299 
E01048,-1.2977 ,0.1797 
E01049,0.6090 ,0.0000 
E01050,-0.0545 ,0.4319 
E01052,-0.1768 ,0.4058 
E01053,-0.4570 ,0.0000 
E01055,0.3453 ,0.0000 
E01056,-0.4543 ,0.0000 
E01057,1.5620 ,0.0000 
E01058,0.2389 ,0.0018 
E01059,0.0723 ,0.4772 
E01060,0.3214 ,0.0001 
E01061,0.7519 ,0.0000 
E01062,0.2580 ,0.0454 
E01064,-0.2590 ,0.0000 
E01065,0.5957 ,0.0000 
E01066,0.4750 ,0.9610 
E01068,-0.2927 ,0.0000 
E01069,-1.0689 ,0.0000 
E01070,-0.0715 ,0.2056 
E01071,0.4744 ,0.0119 
E01072,-0.1085 ,0.1057 
E01073,1.0659 ,0.0000 
E01074,-0.3748 ,0.0011 
E01079,-0.5177 ,0.0000 
E01080,0.3492 ,0.0000 
E01081,-1.5878 ,0.0000 
E01082,-0.2105 ,0.3533 
E01083,-0.8720 ,0.0000 
E01086,-0.4896 ,0.0000 
E01088,0.2589 ,0.0185 
E01090,-0.0254 ,0.9556 
E01091,-0.6315 ,0.0000 
E01092,-0.3675 ,1.0000 
E01094,0.3309 ,0.0066 
E01098,0.5496 ,0.0000 
E01099,0.4764 ,0.0013 
E01101,0.1531 ,0.0161 
E01104,-0.6640 ,0.0000 
E01106,0.5398 ,0.0000 
E01107,-1.3949 ,0.0000 
E01108,0.4565 ,0.0000 
E01111,-0.3669 ,0.0013 
E01113,0.6921 ,0.0000 
E01114,-1.2209 ,0.0000 
E01115,0.7640 ,0.0000 
E01117,-0.0115 ,1.0000 
E01120,-0.7387 ,0.0000 
E01123,-1.3326 ,0.0000 
E01124,0.7557 ,0.0000 
E01126,-0.5420 ,0.0000 
E01128,-0.6935 ,0.0001 
E01129,-0.2832 ,0.0014 
E01130,7.0006 ,0.0000 
